1hop_param,2hop_partner,outcome,takeoff
MC_ROLL_P=0.0,MC_PITCHRATE_P=0.01,fail,takeoff_failed
MC_ROLL_P=0.0,MC_PITCHRATE_P=0.08,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_P=0.38,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_P=0.6,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_I=0.1,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_I=0.6,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_I=12.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_K=0.01,fail,takeoff_failed
MC_ROLL_P=0.0,MC_PITCHRATE_K=0.505,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_K=3.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_PITCHRATE_K=5.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,EKF2_ABL_LIM=0.0,fail,takeoff_failed
MC_ROLL_P=0.0,EKF2_ABL_LIM=0.2,fail,takeoff_failed
MC_ROLL_P=0.0,EKF2_ABL_LIM=0.6,fail,takeoff_succeeded
MC_ROLL_P=0.0,EKF2_ABL_LIM=0.8,fail,takeoff_succeeded
MC_ROLL_P=0.0,MOT_SLEW_MAX=1.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MOT_SLEW_MAX=2.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MOT_SLEW_MAX=3.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MOT_SLEW_MAX=4.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,COM_VEL_FS_EVH=2.0,fail,takeoff_failed
MC_ROLL_P=0.0,COM_VEL_FS_EVH=3.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,COM_VEL_FS_EVH=4.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,COM_VEL_FS_EVH=5.0,fail,takeoff_failed
MC_ROLL_P=0.0,MPC_XY_VEL_I_ACC=0.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_XY_VEL_I_ACC=0.2,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_XY_VEL_I_ACC=30.2,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_XY_VEL_I_ACC=60.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_D_ACC=0.5,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_D_ACC=1.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_D_ACC=1.5,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_D_ACC=2.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_WEIGHT=0.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_WEIGHT=0.2,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_WEIGHT=0.7,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_WEIGHT=1.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_MAX_DN=0.5,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_MAX_DN=0.75,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_MAX_DN=2.5,fail,takeoff_succeeded
MC_ROLL_P=0.0,MPC_Z_VEL_MAX_DN=4.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_P=3.9,fail,takeoff_succeeded
MC_ROLL_P=0.0,MC_YAW_P=5.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MIS_YAW_ERR=0.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MIS_YAW_ERR=6.0,fail,takeoff_succeeded
MC_ROLL_P=0.0,MIS_YAW_ERR=39.0,fail,takeoff_succeeded
